"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","InJu2","InChM","InCf2","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","v_182","v_214","v_213","v_212","v_211","v_210","v_209","v_208","v_207","v_206","ethics","ethStR","Prv_in","Prv_in_S","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","page_history","hflip","vflip","output_mode","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","Dumb_response","right_change","SocDes","NFC"
59,36,0,"no tester","Completed (31)","2301002                     ",NA,443,NA,NA,"Yes","Female",41,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","You should not do things because they go against a standard moral code                                                                                                                                                                                        ",1,"They are relation and that is not right                                                                                                                                                                                                                       ","no harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Birth control is not 100% there could be a child                                                                                                                                                                                                              ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",7,"4: neutral",4,"No","No","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,2300982,2300983,230098","Not flipped","Not flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"neutral","true","false","false","false","reasons","reasons",8,8
60,51,0,"no tester","Completed (31)","2301002                     ",NA,752,NA,NA,"Yes","Male",30,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Morals are certain things that should be followed all the time                                                                                                                                                                                                ",1,"This is an immoral act                                                                                                                                                                                                                                        ","no harm mentioned","norms mentioned",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","They both are siblings and they are cheating the family and their partners                                                                                                                                                                                    ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",5,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","3",7,"5",2,"No","No","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300955,2300956,2300957,2300958,2300959,2300960,2300961,2300962,2300963,2300997,2300997,2300997,2300964,2305815,2300965,2300966,2300967,2300968,2300969,2300970,2300971,2300972,2300973,2300974,2300975,2300976,2300977,2300978,2300979,2300980,2300981,230098","Flipped","Flipped","HTML","1manip","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"wrong","true","false","false","false","reasons","reasons",6,6
61,4,0,"no tester","Completed (31)","2300103                     ",NA,265,NA,NA,"Yes","Male",24,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Sometime the way we violate norms could be making fun of other groups if not executed properly.                                                                                                                                                               ",6,"Everyone was just having spur of the moment fun.                                                                                                                                                                                                              ","no harm mentioned","norms not mentioned",5,"No","No","Unsure","Yes","Yes","No, I have no reason","Yes","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"5",4,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","6","5",5,"6",6,"No","No","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300064,2300065,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,230008","Flipped","Not flipped","HTML","2control","right","right","not wrong","not wrong","not wrong","not wrong","wrong","not wrong","not wrong","not wrong",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2,TRUE,2,"unstated","unstated","no reason","unstated","unstated","unstated","no reason","no reason","no reason",FALSE,"right","true","true","true","false","nothing wrong","right initially",5,5
62,66,0,"no tester","Suspended (22)","2300102                     ",NA,424,NA,NA,"Yes","Male",22,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","If something you deem morally wrong you should not do it, even if your not hurting anyone you may be hurting yourself.                                                                                                                                        ",6,"I do not think it moral wrong if they did it one time and never did it again because I do not think anything wrong with it.                                                                                                                                   ","no harm mentioned","norms not mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","No, I have no reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",6,"2",5,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","2","1: Not at all",6,"7: Extremely",2,"No","No","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","Yes","Intro to Ethics                                                                                                                                                                                                                                               ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300064,2300065,2300429,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,230008","Flipped","Flipped","HTML","2control","right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,0,"unstated","reason","no reason","reason","unstated","unstated","reason","no reason","reason",FALSE,"wrong","true","true","true","false","nothing wrong","right initially",6,6
63,68,0,"no tester","Completed (31)","2300103                     ",NA,315,NA,NA,"Yes","Female",27,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",7,"I don't think their behavior has anything to do with morality. They are just people expressing their natural animal desires, and they were cautious about preventing pregnancy.                                                                               ","no harm mentioned","norms not mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",7,"1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",7,"No","No","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300065,2300429,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,2300087,230008","Flipped","Flipped","HTML","2control","right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"right","true","true","true","true","nothing wrong","right initially",6,6
64,36,0,"no tester","Completed (31)","2300103                     ",NA,254,NA,NA,"Yes","Male",30,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It was established for a reason, and is not good for society if you break it.                                                                                                                                                                                 ",5,"I think it is something that is not completely apprehensible.                                                                                                                                                                                                 ","no harm mentioned","norms mentioned",3,"Yes","No","Unsure","Yes","No","Unsure","Yes","No","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",5,"6",3,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","4: neutral","5",6,"4: neutral",6,"No","No","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","https://s3.amazonaws.com/mturk_bulk/hits/271156540/xTtrjrODyJz5Yja7MWc6mQ.html?assignmentId=3WETL7AQWT8N4CTUGEGAEY5RD8D35C&hitId=3MJ28H2Y1E893HOM9AV0EH7L1V15OI&workerId=A1WXPOLDS1Y9R4&turkSubmitTo=https%3A%2F%2Fwww.mturk.com                              ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300064,2300065,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,2300087,230008","Flipped","Not flipped","HTML","2control","right","right","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","unstated","unstated","unstated","unstated","unstated","no reason","no reason","no reason",FALSE,"right","true","false","false","false","nothing wrong","right initially",6,6
65,19,0,"no tester","Completed (31)","2300103                     ",NA,551,NA,NA,"Yes","Female",39,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"I would never do such a thing but they made a decision based on mutual consent and with responsible precautions. This was a deeply personal experience for them and it concerns only them.                                                                    ","no harm mentioned","norms not mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","7: Extremely Irritated","5",7,"5",3,"No","No","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300065,2300429,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,2300087,230008","Not flipped","Not flipped","HTML","2control","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"wrong","true","true","true","true","nothing wrong","nothing wrong",1,1
66,21,0,"no tester","Completed (31)","2300103                     ",NA,470,NA,NA,"Yes","Female",52,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"It is definitely against established norms for a brother and a sister to have sex.  However, they were consenting adults, they used birth control and they didn't hurt anyone, so I don't feel it's wrong, but I also wouldn't say it was right.  It just wasn","no harm mentioned","norms mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300065,2300429,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,2300087,230008","Not flipped","Not flipped","HTML","2control","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"neutral","true","true","true","true","nothing wrong","nothing wrong",2,2
67,52,0,"no tester","Suspended (22)","2300102                     ",NA,879,NA,NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","If you know is wrong you shouldn't do it even if nobody is harmed as a result.                                                                                                                                                                                ",4,"It was not the behavior society wants, but they decide to try and they made their own decision. If they are ok with that there don's suppose to be any problem.                                                                                               ","no harm mentioned","norms mentioned",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"2",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","5","5",4,"4: neutral",4,"No","No","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","Mexico","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300064,2300065,2300429,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,230008","Flipped","Flipped","HTML","2control","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"neutral","true","false","false","false","nothing wrong","nothing wrong",4,4
68,17,0,"no tester","Completed (31)","2300103                     ",NA,411,NA,NA,"Yes","Female",42,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",4,"It's not  right  for siblings to have sex, but they were adults, consented and no one was harmed.  So while I don't think it was morally right, it wasn't really wrong either.                                                                                ","no harm mentioned","norms mentioned",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",4,"1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","No","-99                                                                                                                                                                                                                                                           ","No","-99                                                                                                                                                                                                                                                           ","                                                                                                                                                                                                                                                              ","-99                                                                                                                                                                                                                                                           ",0,"0","-99                                                                                                                                                                                                                                                           ","0","desktop","0","0","0","North America","United States","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                              ",0,"-66                                                                                                                                                                                                                                                           ","2300057,2300058,2300059,2300060,2300061,2300062,2300063,2300065,2300066,2305822,2300067,2300068,2300069,2300070,2300071,2300072,2300073,2300074,2300075,2300076,2300077,2300078,2300079,2300080,2300081,2300082,2300084,2300085,2300086,2300087,2300089,230008","Flipped","Not flipped","HTML","2control","neutral","neutral","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,"neutral","true","true","true","true","nothing wrong","nothing wrong",1,1
